Bin Number,0 Control,0->1->0,1->0->1,1 Control (0->1->0),1 Control (1->0->1)
305,-1.73E-18,0.112814501,0.546883202,1,1
306,-5.78E-19,0.113547094,0.54505801,1,1
307,5.78E-19,0.113085221,0.545437939,1,1
308,-5.78E-19,0.113283966,0.546036534,1,1
309,0,0.113136995,0.537788291,1,1
310,-1.16E-18,0.113241158,0.53725065,1,1
311,4.05E-18,0.113336323,0.534186459,1,1
312,2.31E-18,0.11423446,0.534001326,1,1
313,0,0.114417084,0.532357726,1,1
314,2.89E-18,0.115340428,0.526375688,1,1
315,5.78E-19,0.115718759,0.525938695,1,1
316,1.73E-18,0.115943699,0.52485559,1,1
317,-5.78E-19,0.113448238,0.515410529,1,1
318,2.89E-18,0.113708227,0.514869108,1,1
319,-1.16E-18,0.11346246,0.513817383,1,1
320,5.78E-19,0.1134114,0.511468577,1,1
321,1.73E-18,0.113229366,0.507629075,1,1
322,1.73E-18,0.112793795,0.504775235,1,1
323,-1.16E-18,0.112191199,0.504383636,1,1
324,-1.16E-18,0.113054412,0.50157242,1,1
325,4.63E-18,0.112194291,0.501129727,1,1
326,-2.31E-18,0.112587317,0.503148698,1,1
327,-1.16E-18,0.112766392,0.50224205,1,1
328,1.73E-18,0.113436947,0.503064229,1,1
329,0,0.113069332,0.503680092,1,1
330,-1.73E-18,0.112622358,0.504872079,1,1
331,-1.73E-18,0.11281143,0.505022457,1,1
332,2.89E-18,0.112036245,0.504484326,1,1
333,2.89E-18,0.112036245,0.504484326,1,1
334,2.89E-18,0.112036245,0.504484326,1,1
335,-1.45E-18,0.124768729,0.508876759,1,1
336,-1.45E-18,0.124768729,0.508876759,1,1
337,5.78E-19,0.124636353,0.509162123,1,1
338,2.60E-18,0.124578741,0.508050296,1,1
339,1.73E-18,0.125158758,0.508091712,1,1
340,-2.89E-18,0.125345211,0.508766943,1,1
341,-2.89E-19,0.125866662,0.508626618,1,1
342,-2.89E-18,0.125543071,0.508385099,1,1
343,8.67E-19,0.125737277,0.508107666,1,1
344,2.89E-19,0.127282737,0.50690915,1,1
345,-1.73E-18,0.127268896,0.506941552,1,1
346,-5.78E-19,0.126802792,0.504997219,1,1
347,0,0.126322849,0.505055878,1,1
348,-2.89E-19,0.12572859,0.50120556,1,1
349,-2.31E-18,0.125636882,0.499969631,1,1
350,-1.73E-18,0.125844709,0.499343815,1,1
351,-8.67E-19,0.126000529,0.496592205,1,1
352,-1.16E-18,0.125125444,0.49582858,1,1
353,-2.31E-18,0.125096151,0.492975417,1,1
354,-5.78E-19,0.124975015,0.491723493,1,1
355,1.73E-18,0.12493935,0.490829293,1,1
356,3.47E-18,0.125026595,0.488610189,1,1
357,1.73E-18,0.125576207,0.486492435,1,1
358,0,0.125577148,0.486452103,1,1
359,5.78E-19,0.124100301,0.480881097,1,1
360,1.73E-18,0.123084932,0.481139825,1,1
361,3.47E-18,0.123687116,0.480578931,1,1
362,2.31E-18,0.12347533,0.479790783,1,1
363,-4.05E-18,0.124204804,0.478550295,1,1
364,1.73E-18,0.123412911,0.477329278,1,1
365,-3.47E-18,0.123978753,0.465819902,1,1
366,-1.16E-18,0.123749758,0.466729734,1,1
367,1.16E-18,0.123208757,0.464464502,1,1
368,0,0.122379871,0.463408981,1,1
369,-5.78E-19,0.122813358,0.46251525,1,1
370,-4.05E-18,0.12094864,0.456285745,1,1
371,2.31E-18,0.121627159,0.457531222,1,1
372,-4.63E-18,0.121741239,0.456613614,1,1
373,-1.73E-18,0.122761291,0.455426139,1,1
374,5.78E-19,0.122244157,0.453819223,1,1
375,1.16E-18,0.12219089,0.45362661,1,1
376,-5.78E-19,0.133384431,0.439212588,1,1
377,4.63E-18,0.133467771,0.439247204,1,1
378,-3.47E-18,0.133909787,0.437964155,1,1
379,5.20E-18,0.135049907,0.440065572,1,1
380,2.89E-18,0.134833623,0.438910543,1,1
381,5.78E-19,0.135495337,0.439476447,1,1
382,-1.73E-18,0.134967924,0.435272315,1,1
383,2.31E-18,0.134673378,0.435184207,1,1
384,2.31E-18,0.134861727,0.432380505,1,1
385,0,0.13446197,0.432323018,1,1
386,-2.31E-18,0.134046645,0.426287671,1,1
387,-5.78E-19,0.134282581,0.424846284,1,1
388,-1.16E-18,0.135029996,0.424679468,1,1
389,1.73E-18,0.134629433,0.42224793,1,1
390,5.78E-19,0.132506766,0.415997482,1,1
391,-4.05E-18,0.132827565,0.417134193,1,1
392,1.16E-18,0.132816408,0.415510901,1,1
393,2.89E-18,0.13316391,0.413370726,1,1
394,2.89E-18,0.132620312,0.413941672,1,1
395,1.73E-18,0.132354679,0.410813789,1,1
396,0,0.132864831,0.411181099,1,1
397,-1.16E-18,0.133845838,0.411079664,1,1
398,-2.89E-18,0.13340788,0.4095614,1,1
399,2.89E-18,0.133130833,0.409323054,1,1
400,1.16E-18,0.133237988,0.409644585,1,1
401,1.16E-18,0.125932667,0.415922708,1,1
402,1.16E-18,0.125932667,0.415922708,1,1
403,-5.78E-19,0.125092113,0.415669146,1,1
404,0,0.1263508,0.417296379,1,1
405,-1.16E-18,0.126339515,0.416534647,1,1
406,3.47E-18,0.127448543,0.416324616,1,1
407,-2.89E-18,0.126826423,0.415793804,1,1
408,-1.16E-18,0.125724744,0.413082915,1,1
409,-2.31E-18,0.125144641,0.411995249,1,1
410,1.16E-18,0.125588634,0.412177858,1,1
411,4.05E-18,0.125132763,0.409466563,1,1
412,-5.78E-19,0.126850363,0.407697985,1,1
413,5.78E-19,0.12593573,0.402695693,1,1
414,0,0.126761219,0.402385797,1,1
415,3.47E-18,0.126146837,0.398917519,1,1
416,-5.78E-19,0.12598434,0.399809634,1,1
417,1.73E-18,0.125714994,0.400191069,1,1
418,2.89E-18,0.128119232,0.397429445,1,1
419,-1.73E-18,0.128256251,0.396913522,1,1
420,0,0.12824528,0.396555977,1,1
421,0,0.126326984,0.394852349,1,1
422,5.78E-19,0.125962119,0.394435109,1,1
423,0,0.124949319,0.388412217,1,1
424,-2.31E-18,0.125275254,0.387070826,1,1
425,-4.63E-18,0.125858335,0.38609656,1,1
426,0,0.126015596,0.386787286,1,1
427,2.31E-18,0.126419431,0.386131086,1,1
428,2.31E-18,0.125352123,0.386731607,1,1
429,1.73E-18,0.125731556,0.386891411,1,1
430,1.73E-18,0.142338372,0.373243132,1,1
431,0,0.142751825,0.373314871,1,1
432,-5.78E-19,0.143270381,0.373655359,1,1
433,0,0.144761302,0.373369046,1,1
434,-2.31E-18,0.146203351,0.373814671,1,1
435,1.73E-18,0.14538089,0.376130348,1,1
436,0,0.14412201,0.372614689,1,1
437,1.16E-18,0.144465949,0.370909822,1,1
438,-5.78E-19,0.144526596,0.369471482,1,1
439,-1.16E-18,0.141243196,0.360392235,1,1
440,0,0.142498345,0.361343038,1,1
441,2.89E-18,0.143356828,0.357530346,1,1
442,1.16E-18,0.143960457,0.358130773,1,1
443,-1.16E-18,0.144553327,0.358096663,1,1
444,1.16E-18,0.145709467,0.359510767,1,1
445,1.16E-18,0.145430693,0.359498792,1,1
446,1.73E-18,0.15019618,0.327574238,1,1
447,-3.47E-18,0.151103174,0.328630009,1,1
448,5.78E-19,0.150645411,0.328906303,1,1
449,-4.05E-18,0.150108545,0.326624735,1,1
450,-2.31E-18,0.151080231,0.327329549,1,1
451,1.73E-18,0.152397134,0.329435483,1,1
452,2.31E-18,0.151215775,0.327746755,1,1
453,4.05E-18,0.151575049,0.327203526,1,1
454,-5.78E-19,0.151215124,0.325676608,1,1
455,-5.78E-19,0.151138047,0.324308788,1,1
456,-1.16E-18,0.145890453,0.343563703,1,1
457,-5.78E-19,0.144907096,0.34133367,1,1
458,-2.31E-18,0.145871029,0.341780797,1,1
459,-3.47E-18,0.144958352,0.341046429,1,1
460,2.31E-18,0.145860958,0.340305615,1,1
461,2.89E-18,0.145050596,0.336060532,1,1
462,-5.78E-19,0.146244384,0.336343991,1,1
463,2.31E-18,0.146427729,0.333358432,1,1
464,2.31E-18,0.146473153,0.335187067,1,1
465,-1.73E-18,0.14586392,0.334740378,1,1
466,2.31E-18,0.146268104,0.334057897,1,1
467,-2.31E-18,0.145342407,0.332232053,1,1
468,2.31E-18,0.144379368,0.328950035,1,1
469,5.78E-19,0.144807609,0.330423991,1,1
470,-3.47E-18,0.145796641,0.328619962,1,1
471,-1.73E-18,0.145936973,0.329475269,1,1
472,-1.73E-18,0.145696264,0.326411257,1,1
473,-2.89E-18,0.146813496,0.326216197,1,1
